Loading model from train_sessions\train_sess_4\trained_models\lenet_pruned_7220step_0.8989accuracy.torchmodel
Initial accuracy = 0.8981
Pruning Threshold = 0.32323805429041386
Number of pruned params = 209 out of 61706 total params
Fraction of params pruned = 0.33870288140537386%
Fraction of zero params = 95.75568016076232%
Accuracy after pruning = 0.8868
Iter 0, loss = 0.3309878408908844
--> Validation top1 accuracy = 0.8836
Iter 1, loss = 0.16662484407424927
Iter 2, loss = 0.3906187415122986
Iter 3, loss = 0.371263712644577
Iter 4, loss = 0.6124140024185181
Iter 5, loss = 0.36426880955696106
Iter 6, loss = 0.5433965921401978
Iter 7, loss = 0.6352111101150513
Iter 8, loss = 0.2728722095489502
Iter 9, loss = 0.3326238989830017
Iter 10, loss = 0.17906886339187622
Iter 11, loss = 0.5886433720588684
Iter 12, loss = 0.4447891116142273
Iter 13, loss = 0.4638620913028717
Iter 14, loss = 0.44387954473495483
Iter 15, loss = 0.26965123414993286
Iter 16, loss = 0.40273451805114746
Iter 17, loss = 0.4269373118877411
Iter 18, loss = 0.38002946972846985
Iter 19, loss = 0.53025221824646
Iter 20, loss = 0.34164243936538696
--> Validation top1 accuracy = 0.8861
Iter 21, loss = 0.3279225528240204
Iter 22, loss = 0.28940489888191223
Iter 23, loss = 0.28486743569374084
Iter 24, loss = 0.4347970187664032
Iter 25, loss = 0.5081424713134766
Iter 26, loss = 0.3869805335998535
Iter 27, loss = 0.31554821133613586
Iter 28, loss = 0.21285730600357056
Iter 29, loss = 0.3823675513267517
Iter 30, loss = 0.4479536712169647
Iter 31, loss = 0.534308671951294
Iter 32, loss = 0.4416605532169342
Iter 33, loss = 0.4129657745361328
Iter 34, loss = 0.1670684963464737
Iter 35, loss = 0.26999735832214355
Iter 36, loss = 0.31529727578163147
Iter 37, loss = 0.5892658233642578
Iter 38, loss = 0.45126014947891235
Iter 39, loss = 0.5095363259315491
Iter 40, loss = 0.34251999855041504
--> Validation top1 accuracy = 0.8895
Iter 41, loss = 0.477201908826828
Iter 42, loss = 0.46969690918922424
Iter 43, loss = 0.5087735056877136
Iter 44, loss = 0.2812718451023102
Iter 45, loss = 0.3041713833808899
Iter 46, loss = 0.44511696696281433
Iter 47, loss = 0.34319767355918884
Iter 48, loss = 0.49968427419662476
Iter 49, loss = 0.4165889620780945
Iter 50, loss = 0.44106781482696533
Iter 51, loss = 0.319175124168396
Iter 52, loss = 0.19725318253040314
Iter 53, loss = 0.3806864321231842
Iter 54, loss = 0.37201371788978577
Iter 55, loss = 0.40295279026031494
Iter 56, loss = 0.36091089248657227
Iter 57, loss = 0.2187165468931198
Iter 58, loss = 0.19317741692066193
Iter 59, loss = 0.5580306649208069
Iter 60, loss = 0.29463741183280945
--> Validation top1 accuracy = 0.8887
Iter 61, loss = 0.3593020737171173
Iter 62, loss = 0.44484835863113403
Iter 63, loss = 0.2721558213233948
Iter 64, loss = 0.3438173830509186
Iter 65, loss = 0.30976054072380066
Iter 66, loss = 0.2628604769706726
Iter 67, loss = 0.5147258639335632
Iter 68, loss = 0.3476991653442383
Iter 69, loss = 0.37806394696235657
Iter 70, loss = 0.4080362319946289
Iter 71, loss = 0.20943650603294373
Iter 72, loss = 0.42805877327919006
Iter 73, loss = 0.20898550748825073
Iter 74, loss = 0.5279467701911926
Iter 75, loss = 0.41808485984802246
Iter 76, loss = 0.47438400983810425
Iter 77, loss = 0.5747431516647339
Iter 78, loss = 0.40250781178474426
Iter 79, loss = 0.505799412727356
Iter 80, loss = 0.4008568823337555
--> Validation top1 accuracy = 0.8864
Iter 81, loss = 0.40553176403045654
Iter 82, loss = 0.4164159893989563
