Loading model from train_sessions\train_sess_0\trained_models\lenet_pruned_2060step_0.9686accuracy.torchmodel
Initial accuracy = 0.9682
Pruning Threshold = 0.22242820932297036
Number of pruned params = 5460 out of 61706 total params
Fraction of params pruned = 8.848410203221729%
Fraction of zero params = 85.5508378439698%
Accuracy after pruning = 0.8304
Iter 0, loss = 0.7316372394561768
Iter 1, loss = 1.0383918285369873
Iter 2, loss = 0.76390141248703
Iter 3, loss = 0.7222315073013306
Iter 4, loss = 0.5729722380638123
Iter 5, loss = 0.6970683336257935
Iter 6, loss = 0.6955417990684509
Iter 7, loss = 0.49915289878845215
Iter 8, loss = 0.7608994245529175
Iter 9, loss = 0.7708820700645447
Iter 10, loss = 0.6672945618629456
Iter 11, loss = 0.3740372359752655
Iter 12, loss = 0.6607385873794556
Iter 13, loss = 0.8603966236114502
Iter 14, loss = 0.7076140642166138
Iter 15, loss = 1.1639292240142822
Iter 16, loss = 0.7696043252944946
Iter 17, loss = 0.5031090974807739
Iter 18, loss = 0.5131030678749084
Iter 19, loss = 0.6856249570846558
Iter 20, loss = 0.6311159729957581
Iter 21, loss = 0.4223173260688782
Iter 22, loss = 0.7404671907424927
Iter 23, loss = 0.5529371500015259
Iter 24, loss = 0.6751889586448669
Iter 25, loss = 0.45913171768188477
Iter 26, loss = 0.5049185752868652
Iter 27, loss = 0.5378702282905579
Iter 28, loss = 0.5320321321487427
Iter 29, loss = 0.4623013734817505
Iter 30, loss = 0.6608099937438965
Iter 31, loss = 0.4491738975048065
Iter 32, loss = 0.7458288669586182
Iter 33, loss = 0.5614774227142334
Iter 34, loss = 1.0168715715408325
Iter 35, loss = 0.5955588817596436
Iter 36, loss = 1.0305756330490112
Iter 37, loss = 0.6047824025154114
Iter 38, loss = 0.5784211158752441
Iter 39, loss = 0.3140251636505127
Iter 40, loss = 0.6378495097160339
Iter 41, loss = 0.5639488101005554
Iter 42, loss = 0.5652403235435486
Iter 43, loss = 0.8660718202590942
Iter 44, loss = 0.8720501661300659
Iter 45, loss = 0.4337257146835327
Iter 46, loss = 0.5954449772834778
Iter 47, loss = 0.45723339915275574
Iter 48, loss = 0.8090223670005798
Iter 49, loss = 0.5858728885650635
Iter 50, loss = 0.7499978542327881
Iter 51, loss = 0.3824630379676819
Iter 52, loss = 0.45602452754974365
Iter 53, loss = 0.6181318163871765
Iter 54, loss = 0.4469064474105835
Iter 55, loss = 0.6034127473831177
Iter 56, loss = 0.7843663096427917
Iter 57, loss = 0.7186587452888489
Iter 58, loss = 0.41541334986686707
Iter 59, loss = 0.5235574841499329
Iter 60, loss = 0.6138525009155273
Iter 61, loss = 0.5012086033821106
Iter 62, loss = 0.5583181381225586
Iter 63, loss = 0.5835295915603638
Iter 64, loss = 0.7781849503517151
Iter 65, loss = 0.6191791296005249
Iter 66, loss = 0.4361310601234436
Iter 67, loss = 0.3972216546535492
Iter 68, loss = 0.6069294810295105
Iter 69, loss = 0.6026207804679871
Iter 70, loss = 0.47847041487693787
Iter 71, loss = 0.5848917365074158
Iter 72, loss = 0.5643048286437988
